lon_point_list,lat_point_list
3.9329610929999985,-75.63154930099992
3.9650320750000416,-75.67293878799987
3.9818405409999817,-75.71717538100002
4.043651230000001,-75.74572990899989
4.007968146000052,-75.79186102200003
3.9708251450000125,-75.79169552499992
3.902932489000011,-75.82222427899991
3.8816452960000474,-75.85807757799991
3.8246767590000124,-75.87110165899999
3.797753728000031,-75.90169844499991
3.7489256340000336,-75.91725172499991
3.7524369560000386,-75.86937477699992
3.771656642999999,-75.82896673299992
3.723793369999984,-75.82412522899999
3.6491823600000144,-75.74916798899997
3.652860883999998,-75.69638540899989
3.6118311309999767,-75.63624954199989
3.5705974520000465,-75.61485799099991
3.580775862000041,-75.5884209059999
3.463360595999996,-75.57967527200002
3.4635515710000346,-75.54357476199995
3.4855232480000087,-75.47324625399997
3.4734079850000326,-75.46031329900002
3.536474402000076,-75.41679078199994
3.5592416680000216,-75.42077148599996
3.6110118329999557,-75.36625041400006
3.661718317000071,-75.35347036999997
3.663706831000111,-75.324077534
3.690331463000052,-75.29209480499993
3.7448720710000165,-75.27382433299991
3.7583597229999937,-75.31094782699994
3.80731137,-75.30674611999991
3.8072541109999696,-75.34978378199989
3.858207883999987,-75.4016143749999
3.8697071300000223,-75.44453930600005
3.844768645000019,-75.45043097099992
3.8414385609999995,-75.50782868099994
3.8594596900000004,-75.56704378699996
3.925639021999994,-75.60805773099992
3.9329610929999985,-75.63154930099992
